,name,latitude,longitude,bikes_available
279,The Queensway at South Kingsway,43.63632,-79.47307,22
280,Merton St / Mount Pleasant Rd,43.697819,-79.38786,2
281,Tyndall Ave / King St W - SMART,43.638426,-79.429142,13
282,College Park - Yonge St Entrance,43.65988,-79.38279,16
283,Bloor St W / Huron St,43.667023,-79.401805,4
284,Barton Ave / Howland Ave - SMART,43.66842,-79.410585,4
285,Keele St / Annette St,43.66402,-79.46418,8
286,Keele St / Vine Ave,43.66686,-79.46526,2
287,Howard St / Rose Ave,43.671278,-79.372127,7
288,Little Norway Park,43.635023,-79.399505,9
289,Isabella St / Church St,43.66834,-79.38235,12
290,University Ave / Armoury St,43.65263,-79.38766,11
291,Lascelles Blvd / Eglinton Ave W,43.70547,-79.40355,2
292,Polson Pier,43.641675,-79.354006,5
293,Dentonia Park,43.694341,-79.291416,14
294,Lower Jarvis / Queens Quay E,43.64422,-79.36927,13
295,Summerhill Ave / Maclennan Ave,43.685924,-79.376304,2
296,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,18
297,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,16
298,Ellis Ave / The Queensway,43.63855,-79.46693,17
299,High Park - Grenadier Cafe,43.645599,-79.4657123,2
300,Winona Dr / Davenport Rd,43.674923,-79.430465,1
301,Danforth Ave / Aldridge Ave,43.684758,-79.316767,4
302,Dundonald St / Church St,43.66663,-79.38148,22
303,Gerrard St E / Malvern Ave - SMART,43.685221,-79.294766,9
304,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,23
305,Queens Quay W / Lower Simcoe St,43.63951,-79.383717,19
306,Bremner Blvd / Rees St,43.641529,-79.386741,12
307,King St W / Crawford St,43.6417852,-79.4131148,13
308,Yonge St / Dundas Sq,43.655766,-79.3802,13
309,St Clair Ave W / Winona Ave,43.680466,-79.432522,4
310,Bay St / Wellesley St W,43.664088,-79.387095,40
311,Humberside Grounds - SMART,43.65917,-79.46997,9
312,Bloor St E / Huntley St - SMART,43.671535,-79.379173,9
313,Wellington St W / York St,43.646734,-79.38301,13
314,Dalton Rd / Bloor St W,43.6662942,-79.4066433,2
